Player,Team,Int,Yds,Avg,TD,Solo,Ast,Tot,Sack,Stat Type,Conference
Philip Afia,UTAH,0,0,0.0,0,2,1,3,0.0,Defense,Pac-12
Pita Tonga,UTAH,1,21,21.0,0,3,9,12,2.5,Defense,Pac-12
Popo Aumavae,ORE,0,0,0.0,0,2,3,5,0.0,Defense,Pac-12
Quentin Lake,UCLA,2,12,6.0,0,51,16,67,0.0,Defense,Pac-12
Randall Haynie,VAN,1,0,0.0,0,13,2,15,0.0,Defense,SEC
Rashad Fenton,SCAR,3,16,5.33,0,25,9,34,0.0,Defense,SEC
Richard LeCounte III,UGA,1,29,29.0,0,45,29,74,0.0,Defense,SEC
Rick Gamboa,COL,1,17,17.0,0,37,34,71,0.0,Defense,Pac-12
Ryan Newsome,AZST,1,24,24.0,0,0,0,0,0.0,Defense,Pac-12
Ryan Pulley,ARK,3,0,0.0,0,30,7,37,1.0,Defense,SEC
Saivion Smith,ALA,3,71,23.67,1,36,24,60,0.0,Defense,SEC
Salvon Ahmed,WASH,0,0,0.0,0,0,2,2,0.0,Defense,Pac-12
Scottie Young Jr.,ARIZ,3,63,21.0,1,28,10,38,0.0,Defense,Pac-12
Sean Barton,STAN,1,0,0.0,0,46,45,91,2.0,Defense,Pac-12
Shannon Forman,AZST,1,25,25.0,1,17,9,26,0.0,Defense,Pac-12
Shawn Shamburger,TENN,0,-4,0.0,0,6,5,11,0.0,Defense,SEC
Shawn Wilson,ORST,1,33,33.0,0,29,15,44,0.0,Defense,Pac-12
Shemar Smith,ORST,1,17,17.0,0,46,39,85,1.0,Defense,Pac-12
Sherrod Greene,SCAR,1,12,12.0,1,32,41,73,0.0,Defense,SEC
Shy Tuttle,TENN,1,0,0.0,0,14,19,33,1.0,Defense,SEC
Shyheim Carter,ALA,2,89,44.5,2,27,17,44,0.0,Defense,SEC
Skyler Thomas,WSU,2,18,9.0,0,46,30,76,0.0,Defense,Pac-12
Smoke Monday,AUB,1,0,0.0,0,7,8,15,2.0,Defense,SEC
Stephen Adegoke,MSST,1,29,29.0,0,5,4,9,0.0,Defense,SEC
Tae Crowder,UGA,2,56,28.0,0,18,35,53,1.5,Defense,SEC
Taylor Rapp,WASH,2,0,0.0,0,33,26,59,5.0,Defense,Pac-12
Terez Hall,MIZZ,1,0,0.0,0,45,25,70,5.0,Defense,SEC
Terin Adams,AZST,0,0,0.0,0,24,6,30,0.0,Defense,Pac-12
Terrell Burgess,UTAH,1,0,0.0,0,11,5,16,0.0,Defense,Pac-12
Terrence Alexander,LSU,0,0,0.0,0,17,6,23,0.0,Defense,SEC
Thomas Booker,STAN,1,0,0.0,0,14,15,29,3.5,Defense,Pac-12
Thomas Graham Jr.,ORE,2,0,0.0,0,47,9,56,1.0,Defense,Pac-12
Todd Harris Jr.,LSU,1,0,0.0,0,19,12,31,0.0,Defense,SEC
Traveon Beck,CAL,3,23,7.67,0,26,6,32,0.0,Defense,Pac-12
Trevon Diggs,ALA,1,0,0.0,0,18,2,20,0.0,Defense,SEC
Trey Dean III,FLA,1,44,44.0,0,16,10,26,0.0,Defense,SEC
Troy Dye,ORE,1,0,0.0,0,66,48,114,2.0,Defense,Pac-12
Troy Young,ARIZ,1,1,1.0,0,8,2,10,0.0,Defense,Pac-12
Tyrel Dodson,TAMU,1,78,78.0,1,42,28,70,0.5,Defense,SEC
Tyrell Ajian,KY,1,35,35.0,0,5,5,10,0.0,Defense,SEC
Tyrique McGhee,UGA,1,2,2.0,0,11,12,23,0.0,Defense,SEC
Ugo Amadi,ORE,3,70,23.33,2,42,12,54,1.5,Defense,Pac-12
Ventrell Miller,FLA,1,82,82.0,1,8,7,15,1.0,Defense,SEC
Vernon Dasher,MISS,1,88,88.0,1,18,18,36,0.0,Defense,SEC
Willie Gay Jr.,MSST,2,49,24.5,0,20,28,48,5.0,Defense,SEC
Willie Taylor,WSU,1,40,40.0,0,17,13,30,4.0,Defense,Pac-12
Xavier McKinney,ALA,2,23,11.5,1,44,29,73,3.0,Defense,SEC
Zedrick Woods,MISS,2,-2,-1.0,0,42,37,79,0.5,Defense,SEC
